gene,perm_importance_mean,perm_importance_std
GBP1,0.0019417997048223779,0.00021246500629465865
IRF1,0.0015773816413354957,0.0001849715336135665
ICAM1,0.0009334386453097477,0.00013636214843861595
MT2A,0.0009171516494249299,0.0001239505977481209
GBP2,0.0009030349790042136,0.000162183516497372
GBP4,0.000771782056629744,0.00012133400974849974
HSPA1A,0.0006391182280450769,6.383760956967127e-05
HLA-B,0.0006363871202025196,0.0001283201041778595
IDO1,0.0006335348416030451,7.805847089573461e-05
TMEM158,0.0005767719266116633,0.00013660949815885617
FKBP1A,0.0005387219837500457,0.00013930639223786663
TEX29,0.0004998693776452013,0.00016091958269212107
CLEC2B,0.0004924299726200565,0.00015644341230258203
ZFAS1,0.0004378549161440315,0.00015928903773049162
CD74,0.0004252086460698301,0.00010127908431252994
NNMT,0.00039992634536959446,0.00011302456490466323
ISG20,0.0003818094529696392,0.00013101185775879614
KRT18,0.00037745804539416337,9.154638505586955e-05
AKR1B10,0.00035788264438745275,7.536921433129191e-05
PMAIP1,0.00035408226599410454,8.011651503361785e-05
CD7,0.000333124175424826,8.36901391440934e-05
SOD2,0.0003259583613254735,0.00011217702936235415
HSPB1,0.0003259227770630813,0.00011826915127749565
MALAT1,0.0003250277098764798,0.0001286798615759424
MT-ND2,0.0003041540171939361,9.305670472216464e-05
LRRC17,0.0002991011279726563,7.601223785533442e-05
PTGES,0.0002933710872319195,8.802086601859749e-05
CXCL11,0.0002841939046919539,8.65125518700916e-05
MTRNR2L12,0.00027847732570344117,7.298125030401032e-05
GBP5,0.00027610735911124393,7.86080789261101e-05
BST2,0.0002618979942418442,0.00013411960540404952
HLA-DRA,0.000261884519681832,5.692361296168672e-05
SAT1,0.0002471068921866104,8.62955132760369e-05
TFPI2,0.00024571936671478054,4.113194008936325e-05
IER5L,0.00024230870078003618,0.0001284815506747026
NFKBIA,0.00024138805803405327,9.040912535683421e-05
SPANXB1,0.00023051951723097598,0.0001015009216848031
FTH1,0.00022821479061747586,0.00013114848008214346
MT-ND3,0.00022607803699989937,0.00011139562109327805
MDK,0.00022013450180048412,5.759616915615913e-05
TIMP3,0.00021703487350427375,9.771106229031195e-05
ZC3HAV1,0.0002150789321440083,0.00011499068775977602
DIO2,0.00021498790859532103,0.00012374844366216015
CXCL10,0.0002134075901577326,0.0001160281052636436
FN1,0.00020593531646931896,5.6168703899279686e-05
MARCKSL1,0.00020493593481700766,0.00012142175137077239
HLA-DRB1,0.00020174723337246236,6.714505831954739e-05
PPP1R15A,0.00019831662408170692,4.8064709583337054e-05
SERPINE1,0.00019760922054583573,0.00010720597727967861
SOCS3,0.00019753964462150276,5.984343718969854e-05
NCL,0.0001957166458627202,0.0001229335958705288
HSP90AA1,0.00019455127166218,0.00010761533306032172
CLU,0.0001940785107351406,7.795663519689812e-05
APOBEC3G,0.00018999855052115322,0.00014080537191566824
NEAT1,0.00018808814642049532,0.00011883329457430888
SRGN,0.00018782625392762541,0.00011254812119074301
CAV1,0.0001865758070069612,8.292574265172261e-05
HLA-DPA1,0.0001859295956156526,8.447964452693476e-05
HIST1H1C,0.0001842975854124962,8.14722093903116e-05
CDKN1A,0.00018165582567623018,4.1709782762646804e-05
IGFBP2,0.00018125452036721335,7.054822595948424e-05
AKR1B1,0.0001799156521916423,0.00010288276470343673
H3F3B,0.00017714067959205825,9.871854224636944e-05
TPM1,0.0001770279449048062,5.969728176495518e-05
MT-ND5,0.00017292448926007343,0.0001152780537038752
CCPG1,0.0001637798884689956,7.431101268181616e-05
OSGIN1,0.00016295766239824428,6.34247347905408e-05
