perturbation,hierarchical,kmeans,leiden
ACTA2,1,0,0
AEBP1,1,0,0
A2M,4,2,0
B2M,4,0,0
ATP1B1,1,1,0
CITED1,1,0,0
CD44,1,1,0
CD274,2,1,0
CDH19,4,1,0
CTSD,1,0,0
CSPG4,4,2,0
APOC2,1,1,0
AGA,4,2,0
AHNAK,1,0,0
CD59,1,0,0
FGFR1,1,0,0
APOE,1,0,0
APOD,4,2,0
C19orf48,2,2,0
CD47,1,1,0
CTSO,2,1,0
CDKN1A,1,0,0
CD58,2,1,0
CTSA,4,2,0
CD151,2,1,0
CTSB,1,0,0
BZW2,4,2,0
CYP27A1,1,0,0
CCND2,1,0,0
FSTL3,2,1,0
GSN,2,1,0
C6orf226,1,1,0
FMN1,1,0,0
CTSL,4,2,0
CCR10,1,0,0
CORO1A,4,2,0
EMP1,1,0,0
CKS1B,4,2,0
HLA-DRB5,1,0,0
CMSS1,2,2,0
HLA-A,1,0,0
CDKN2B,1,0,0
CHCHD2,2,1,0
IDH2,1,0,0
JAK2,1,0,0
FBXO32,2,1,0
ARMC6,1,0,0
NT5E,2,1,0
DLL3,2,1,0
DAG1,3,1,0
CDK4,4,2,0
MFGE8,1,0,0
GAA,1,0,0
EIF3K,2,1,0
HLA-F,4,2,0
LAMP2,2,1,0
PSAP,2,1,0
CDKN2A,1,0,0
CD63,4,2,0
DDX17,1,0,0
HLA-H,1,0,0
ENPP1,2,1,0
FOS,2,2,0
ITGA3,2,1,0
EVA1A,1,1,0
IFNGR2,1,0,0
LCP1,2,0,0
LEF1-AS1,2,1,0
PFDN4,2,0,0
DDR1,2,2,0
GAS5,1,0,0
JAK1,1,0,0
NMRK1,2,1,0
GPNMB,2,1,0
RTP4,2,1,0
SLC22A18,2,1,0
HLA-E,1,0,0
CXCR4,1,0,0
IDI2-AS1,2,1,0
JMJD7,2,1,0
BOLA2B,4,2,0
CCND1,4,3,1
IFNGR1,2,1,0
HSPA1A,2,1,0
LINC00518,2,2,0
KDR,2,1,0
KLF4,1,0,0
IRF3,2,1,0
NPC1,2,1,0
CST3,2,2,0
RB1,2,0,0
MC1R,1,0,0
CGAS,2,1,0
FRZB,1,0,0
GRN,2,1,0
FKBP4,1,1,0
KCNN4,2,0,0
LY96,1,0,0
S100B,1,0,0
SOX4,1,0,0
NSG1,2,2,0
LGALS3,2,1,0
EEA1,1,0,0
ACSL3,4,3,1
SEC11C,2,2,0
TGFB1,2,1,0
TSC22D3,2,1,0
SCARB2,2,1,0
SDCBP,1,0,0
SERPINF1,1,1,0
C1QBP,4,1,0
SLC5A3,2,1,0
HNRNPA1,4,1,0
LRPAP1,1,1,0
SMAD3,2,1,0
LGALS3BP,4,2,0
SAT1,2,1,0
TTLL1,2,1,0
IRF4,2,1,0
PYGB,4,2,0
BOLA2,4,2,0
NPC2,2,1,0
SPESP1,2,1,0
E2F1,4,2,0
MIA,1,0,0
PROS1,2,1,0
SLC26A2,2,1,0
NONO,2,1,0
SDC3,1,0,0
MDH2,4,1,0
NGFR,2,1,0
RBP7,1,0,0
STOM,2,1,0
HLA-C,4,2,0
ISYNA1,4,2,0
PSMB8-AS1,2,1,0
RAB27A,2,0,0
SPINT1,1,1,0
ST3GAL6-AS1,4,2,0
SMAD4,4,1,0
RNF213,2,1,0
S100A6,4,2,0
PIK3IP1,2,1,0
TM4SF1,2,1,0
DDX39A,2,2,0
NME1,1,0,0
GPATCH4,2,0,0
TAPBPL,1,1,0
NUP50-AS1,2,1,0
ATP5MD,2,1,0
SERPINA3,2,1,0
JPT1,4,2,0
PPIA,4,2,0
PTMA,1,0,0
TMEM173,2,1,0
WNT7A,2,1,0
SP100,2,1,0
STX7,2,1,0
TIMP1,2,1,0
TOP1MT,2,1,0
HLA-B,1,0,0
MT2A,1,0,0
NEAT1,2,1,0
SLC7A5P1,2,1,0
SERPINE2,4,2,0
TP53,2,1,0
TAPBP,2,1,0
TYR,2,1,0
TXNDC17,2,1,0
TPP1,1,0,0
VDAC2,2,1,0
SLC25A13,2,1,0
SNHG6,2,1,0
STAT3,1,0,0
TFAP2A,2,1,0
SGK1,2,1,0
SLIRP,3,1,0
SHMT2,1,0,0
HASPIN,2,1,0
WBP2,2,1,0
STAT1,1,0,0
SET,2,1,0
TIMP3,2,1,0
LRRC75A-AS1,2,1,0
MRPL47,4,2,0
ST6GALNAC2,2,0,0
VAT1,2,1,0
TIMP2,4,2,0
CTPS1,3,3,0
CDK6,4,3,1
TRIM22,1,0,0
UCN2,2,2,0
NDUFA13,2,1,0
SSR2,2,1,0
TIMM50,2,1,0
SLC19A1,2,0,0
SINHCAF,4,2,0
XAGE1A,2,2,0
P2RX4,2,2,0
FBL,1,0,0
GSEC,2,1,0
RNASEH2A,1,0,0
CDC123,2,1,0
PET100,4,2,0
PFN1,3,3,0
DNMT1,4,2,0
NOLC1,4,2,0
UQCRFS1,3,3,0
FOXM1,4,2,0
RPSA,1,0,0
HNRNPC,2,1,0
PAICS,3,3,1
UQCRH,4,2,0
PABPC1,3,0,0
UBC,2,1,0
PUF60,3,2,0
TMED10,3,3,1
ILF2,3,3,1
CCT3,4,3,1
EIF4A1,3,3,0
GPI,3,3,1
TPRKB,3,3,1
EEF1G,3,3,1
NCL,3,0,1
POLD2,4,2,0
MYC,3,3,1
RRS1,1,1,0
FTH1,2,2,0
ROMO1,3,3,1
AHCY,3,3,1
PRELID3B,3,3,1
PPA1,3,3,1
FARSA,3,3,1
SAE1,1,0,0
NACA,2,1,0
RUVBL2,2,1,0
SNRPG,4,3,0
DNAJC9,4,3,0
EIF2S3,4,1,0
