perturbation,n_cells
control,15361
ACTA2,408
AEBP1,390
A2M,376
B2M,367
ATP1B1,344
CITED1,341
CD44,340
CD274,339
CDH19,335
CTSD,331
CSPG4,329
APOC2,323
AGA,321
AHNAK,321
CD59,320
FGFR1,320
APOE,318
APOD,304
C19orf48,304
CD47,302
CTSO,301
CDKN1A,297
CD58,289
CTSA,284
CD151,282
CTSB,282
BZW2,281
CYP27A1,280
CCND2,279
FSTL3,278
GSN,276
C6orf226,274
FMN1,273
CTSL,270
CCR10,266
CORO1A,266
EMP1,265
CKS1B,264
HLA-DRB5,263
CMSS1,258
HLA-A,256
CDKN2B,255
CHCHD2,255
IDH2,254
JAK2,252
FBXO32,251
ARMC6,250
NT5E,249
DLL3,247
DAG1,246
CDK4,242
MFGE8,236
GAA,231
EIF3K,229
HLA-F,229
LAMP2,227
PSAP,226
CDKN2A,224
CD63,222
DDX17,222
HLA-H,221
ENPP1,219
FOS,219
ITGA3,218
EVA1A,217
IFNGR2,215
LCP1,215
LEF1-AS1,214
PFDN4,214
DDR1,212
GAS5,211
JAK1,210
NMRK1,210
GPNMB,209
RTP4,209
SLC22A18,209
HLA-E,205
CXCR4,204
IDI2-AS1,204
JMJD7,204
BOLA2B,203
CCND1,202
IFNGR1,202
HSPA1A,201
LINC00518,201
KDR,200
KLF4,200
IRF3,198
NPC1,198
CST3,197
RB1,197
MC1R,196
CGAS,195
FRZB,194
GRN,194
FKBP4,192
KCNN4,192
LY96,190
S100B,189
SOX4,188
NSG1,187
LGALS3,186
EEA1,185
ACSL3,184
SEC11C,184
TGFB1,182
TSC22D3,182
SCARB2,181
SDCBP,181
SERPINF1,181
C1QBP,178
SLC5A3,178
HNRNPA1,177
LRPAP1,176
SMAD3,176
LGALS3BP,175
SAT1,175
TTLL1,175
IRF4,174
PYGB,172
BOLA2,171
NPC2,171
SPESP1,169
E2F1,167
MIA,167
PROS1,167
SLC26A2,167
NONO,166
SDC3,166
MDH2,165
NGFR,165
RBP7,164
STOM,164
HLA-C,163
ISYNA1,163
PSMB8-AS1,163
RAB27A,163
SPINT1,162
ST3GAL6-AS1,161
SMAD4,160
RNF213,159
S100A6,159
PIK3IP1,158
TM4SF1,158
DDX39A,157
NME1,157
GPATCH4,156
TAPBPL,154
NUP50-AS1,153
ATP5MD,151
SERPINA3,151
JPT1,150
PPIA,150
PTMA,150
TMEM173,150
WNT7A,150
SP100,149
STX7,147
TIMP1,147
TOP1MT,146
HLA-B,145
MT2A,145
NEAT1,145
SLC7A5P1,144
SERPINE2,143
TP53,142
TAPBP,141
TYR,141
TXNDC17,139
TPP1,138
VDAC2,137
SLC25A13,136
SNHG6,135
STAT3,135
TFAP2A,135
SGK1,134
SLIRP,131
SHMT2,129
HASPIN,128
WBP2,125
STAT1,124
SET,123
TIMP3,122
LRRC75A-AS1,120
MRPL47,119
ST6GALNAC2,117
VAT1,117
TIMP2,116
CTPS1,115
CDK6,112
TRIM22,111
UCN2,110
NDUFA13,109
SSR2,109
TIMM50,106
SLC19A1,105
SINHCAF,103
XAGE1A,100
P2RX4,98
FBL,96
GSEC,93
RNASEH2A,92
CDC123,88
PET100,88
PFN1,87
DNMT1,84
NOLC1,82
UQCRFS1,80
FOXM1,79
RPSA,69
HNRNPC,67
PAICS,66
UQCRH,64
PABPC1,57
UBC,56
PUF60,55
TMED10,54
ILF2,53
CCT3,52
EIF4A1,49
GPI,48
TPRKB,48
EEF1G,47
NCL,46
POLD2,44
MYC,40
RRS1,39
FTH1,38
ROMO1,38
AHCY,34
PRELID3B,33
PPA1,31
FARSA,24
SAE1,22
NACA,20
RUVBL2,19
SNRPG,19
DNAJC9,17
EIF2S3,15
CCT6A,14
SNRPE,11
SNRPF,11
ATP1A1,10
UBA52,10
RACK1,7
PSMA7,4
UBL5,3
TUBB,2
